scenario_number,scenario,seed,algorithm,runtime_seconds,true_theta,first_invalid_step,noise_changed_decisions,ordinary_final_angular_error_degrees,ordinary_final_normalized_regret,ordinary_final_zero_regret_rate,ordinary_final_estimate_valid,ordinary_final_status,ordinary_first_threshold_step,ordinary_stable_threshold_step,ordinary_first_angular_threshold_step,ordinary_stable_angular_threshold_step,ordinary_first_joint_threshold_step,ordinary_stable_joint_threshold_step,balanced_final_angular_error_degrees,balanced_final_normalized_regret,balanced_final_zero_regret_rate,balanced_final_estimate_valid,balanced_final_status,balanced_first_threshold_step,balanced_stable_threshold_step,balanced_first_angular_threshold_step,balanced_stable_angular_threshold_step,balanced_first_joint_threshold_step,balanced_stable_joint_threshold_step
6,knapsack-6d,4,Score base model,12.852287499932572,"[-0.382778728612703, 0.38726943903341005, -0.41639651787633036, 0.3570785965293626, -0.42763952633724567, 0.4687601495728219]",,0,3.7534683229493804,0.0007518034932582282,0.9833333333333333,True,valid,3,3,10,20,10,20,,,,,,,,,,,
7,strong-noise-4d,0,Pedro algorithm,0.08300069998949766,"[-0.550656166243499, 0.43169545033084755, -0.5574655825284869, 0.44682093621252067]",,1,16.253393510150165,0.017814709023138087,0.8833333333333333,True,valid,,,,,,,,,,,,,,,,,
7,strong-noise-4d,0,Score base model,15.344593600020744,"[-0.550656166243499, 0.43169545033084755, -0.5574655825284869, 0.44682093621252067]",,4,6.182837799171237,0.0031992898328756475,0.9416666666666667,True,valid,3,6,13,,13,,,,,,,,,,,,
7,strong-noise-4d,1,Pedro algorithm,0.1732080999063328,"[-0.5191709233041493, 0.5008254006359676, -0.49329763332887827, 0.48609969700203204]",,0,20.83741042212659,0.025705263499374024,0.825,True,valid,,,,,,,,,,,,,,,,,
7,strong-noise-4d,1,Score base model,22.187831399962306,"[-0.5191709233041493, 0.5008254006359676, -0.49329763332887827, 0.48609969700203204]",,3,3.767072923659882,0.0011784474451631722,0.9666666666666667,True,valid,5,10,10,20,10,20,,,,,,,,,,,
7,strong-noise-4d,2,Pedro algorithm,0.13904260005801916,"[-0.4264826189613108, 0.49029675806115397, -0.48979538702232955, 0.5812246928772642]",,1,21.281575942040153,0.02995606755533416,0.8583333333333333,True,valid,,,,,,,,,,,,,,,,,
7,strong-noise-4d,2,Score base model,20.833541399915703,"[-0.4264826189613108, 0.49029675806115397, -0.48979538702232955, 0.5812246928772642]",,3,3.899713208357752,0.0005819475373255204,0.9666666666666667,True,valid,8,8,11,16,11,16,,,,,,,,,,,
7,strong-noise-4d,3,Pedro algorithm,0.08510599995497614,"[-0.4497711200810433, 0.5806843506189707, -0.45588820698997273, 0.5026704359863783]",,0,11.864608676289926,0.011891214508329718,0.9,True,valid,8,,,,,,,,,,,,,,,,
7,strong-noise-4d,3,Score base model,14.815109600080177,"[-0.4497711200810433, 0.5806843506189707, -0.45588820698997273, 0.5026704359863783]",,5,9.766376100863855,0.0038866433456908795,0.9166666666666666,True,valid,6,10,,,,,,,,,,,,,,,
7,strong-noise-4d,4,Pedro algorithm,0.10204499994870275,"[-0.43390813222187424, 0.6120585698627251, -0.44850326506619126, 0.48574979266520113]",,0,6.3620001869729865,0.003126385566001185,0.9416666666666667,True,valid,9,9,,,,,,,,,,,,,,,
7,strong-noise-4d,4,Score base model,19.43321969988756,"[-0.43390813222187424, 0.6120585698627251, -0.44850326506619126, 0.48574979266520113]",,7,2.308906886797778,0.0013950801876096426,0.9583333333333334,True,valid,3,9,11,11,11,11,,,,,,,,,,,
8,query-noise-4d,0,Pedro algorithm,0.14933669997844845,"[-0.550656166243499, 0.43169545033084755, -0.5574655825284869, 0.44682093621252067]",,1,16.253393510150165,0.017814709023138087,0.8833333333333333,True,valid,,,,,,,,,,,,,,,,,
8,query-noise-4d,0,Score base model,14.158434299984947,"[-0.550656166243499, 0.43169545033084755, -0.5574655825284869, 0.44682093621252067]",,5,2.9275826414505826,0.0009263904816343805,0.9666666666666667,True,valid,3,11,5,18,5,18,,,,,,,,,,,
8,query-noise-4d,1,Pedro algorithm,0.1292519000126049,"[-0.5191709233041493, 0.5008254006359676, -0.49329763332887827, 0.48609969700203204]",,0,20.83741042212659,0.025705263499374024,0.825,True,valid,,,,,,,,,,,,,,,,,
8,query-noise-4d,1,Score base model,20.29073949996382,"[-0.5191709233041493, 0.5008254006359676, -0.49329763332887827, 0.48609969700203204]",,7,4.383501606781834,0.0012543198874197074,0.9666666666666667,True,valid,5,5,9,19,9,19,,,,,,,,,,,
8,query-noise-4d,2,Pedro algorithm,0.08291729993652552,"[-0.4264826189613108, 0.49029675806115397, -0.48979538702232955, 0.5812246928772642]",,1,21.281575942040153,0.02995606755533416,0.8583333333333333,True,valid,,,,,,,,,,,,,,,,,
8,query-noise-4d,2,Score base model,19.552103900001384,"[-0.4264826189613108, 0.49029675806115397, -0.48979538702232955, 0.5812246928772642]",,3,3.899713208357752,0.0005819475373255204,0.9666666666666667,True,valid,8,8,11,16,11,16,,,,,,,,,,,
8,query-noise-4d,3,Pedro algorithm,0.08650859992485493,"[-0.4497711200810433, 0.5806843506189707, -0.45588820698997273, 0.5026704359863783]",,0,11.864608676289926,0.011891214508329718,0.9,True,valid,8,,,,,,,,,,,,,,,,
8,query-noise-4d,3,Score base model,18.20681300002616,"[-0.4497711200810433, 0.5806843506189707, -0.45588820698997273, 0.5026704359863783]",,2,4.709469068921207,0.0011135570586599164,0.9583333333333334,True,valid,6,10,17,17,17,17,,,,,,,,,,,
8,query-noise-4d,4,Pedro algorithm,0.12863910000305623,"[-0.43390813222187424, 0.6120585698627251, -0.44850326506619126, 0.48574979266520113]",,0,6.3620001869729865,0.003126385566001185,0.9416666666666667,True,valid,9,9,,,,,,,,,,,,,,,
8,query-noise-4d,4,Score base model,19.873230900033377,"[-0.43390813222187424, 0.6120585698627251, -0.44850326506619126, 0.48574979266520113]",,6,3.747444228255483,0.0009634341771478747,0.9666666666666667,True,valid,3,9,10,14,10,14,,,,,,,,,,,
