step,constraint_count,feasible_direction_fraction,sampled_feasible_count,angular_diameter,minimum_margin,mean_margin,violation_rate,maximum_violation
1,3.0,0.2866666666666667,43.0,1.4942563925799337,0.7130790518862032,0.808683932312796,0.0,0.0
2,6.0,0.26666666666666666,40.0,1.5387939158266672,0.7130790518862036,0.8740964234066414,0.0,0.0
3,9.0,0.16666666666666666,25.0,1.2163490556126875,0.634599773838022,0.8343343927886512,0.0,0.0
4,12.0,0.12666666666666668,19.0,0.9197460487012117,0.45937491536747393,0.7698595544938233,0.0,0.0
5,15.0,0.06,9.0,0.3565048041042631,0.1919525869557136,0.6979631300378378,0.0,0.0
6,18.0,0.013333333333333334,2.0,0.15009900007962068,0.14562446042262878,0.6917632316738627,0.0,0.0
7,21.0,0.04666666666666667,7.0,0.1969732458940141,0.14562446042263616,0.6744190949798975,0.0,0.0
8,24.0,0.06,9.0,0.28631839613096144,0.14562446042262642,0.660453469093427,0.0,0.0
