step,loss,radius,theta_0,theta_1
1,,0.7130790518862037,0.42206421490814744,0.9065659372014643
2,,0.7130790518862372,0.42206421490814794,0.9065659372014641
3,,0.6345997738380357,0.5159453265853366,0.8566215150080871
4,,0.45937491536747393,0.3258509155579209,0.9454211658462406
5,,0.19195258695593237,0.5778171382972292,0.8161662543195477
6,,0.1456244604235095,0.615530434591582,0.7881131163046954
7,,0.14562446044066443,0.615530434591591,0.7881131163046885
8,,0.14562446044003005,0.6155304345915986,0.7881131163046824
