step,constraint_count,feasible_direction_fraction,sampled_feasible_count,angular_diameter,minimum_margin,mean_margin,violation_rate,maximum_violation
1,3.0,0.2866666666666667,43.0,1.4942563925799337,-0.010180351830700887,0.009476275202180704,0.3333333333333333,0.010180351830700887
2,6.0,0.26666666666666666,40.0,1.5387939158266672,-0.010180351830700887,0.006119840364541212,0.3333333333333333,0.010180351830700887
3,9.0,0.0,0.0,0.0,-0.010180351830700887,0.007780865391337482,0.2222222222222222,0.010180351830700887
4,12.0,0.0,0.0,0.0,-0.010180351830700887,0.012473530270003674,0.16666666666666666,0.010180351830700887
5,15.0,0.0,0.0,0.0,-0.02612851193137444,0.01069371219415281,0.2,0.02612851193137444
6,18.0,0.0,0.0,0.0,-0.02712988979000931,0.007271640638881558,0.2777777777777778,0.02712988979000931
7,21.0,0.0,0.0,0.0,-0.02712988979000931,0.00943037881096695,0.23809523809523808,0.02712988979000931
8,24.0,0.0,0.0,0.0,-0.02712988979000931,0.011748292431838512,0.20833333333333334,0.02712988979000931
