index,observed_match,observed_distance,surrogate_suboptimality,predicted_value,clean_match,clean_distance,true_regret
0,1.0,0.0,0.0,-0.005781308279660716,1.0,0.0,0.0
1,1.0,0.0,0.0,-0.3798044727081153,1.0,0.0,0.0
2,1.0,0.0,0.0,-0.20562643625178578,1.0,0.0,0.0
3,1.0,0.0,0.0,-1.2543487786963332,1.0,0.0,0.0
4,1.0,0.0,0.0,-1.7605097021201817,1.0,0.0,0.0
5,1.0,0.0,0.0,-1.5749879505839421,1.0,0.0,0.0
6,1.0,0.0,0.0,-0.5136319594762514,1.0,0.0,0.0
7,1.0,0.0,0.0,-1.2150423521744065,1.0,0.0,0.0
8,1.0,0.0,0.0,-0.9163687916327232,1.0,0.0,0.0
9,1.0,0.0,0.0,0.18023380357238766,1.0,0.0,0.0
10,1.0,0.0,0.0,-0.04797346693525313,1.0,0.0,0.0
11,1.0,0.0,0.0,-0.8694102784701623,1.0,0.0,0.0
12,1.0,0.0,0.0,-0.48641608538165065,1.0,0.0,0.0
13,1.0,0.0,0.0,-0.7588845701334508,1.0,0.0,0.0
14,1.0,0.0,0.0,-1.2453656560329285,1.0,0.0,0.0
15,1.0,0.0,0.0,-1.7792580112800274,1.0,0.0,0.0
