step,constraint_count,feasible_direction_fraction,sampled_feasible_count,angular_diameter,minimum_margin,mean_margin,violation_rate,maximum_violation
1,3.0,0.2866666666666667,43.0,1.4942563925799337,-0.033368155744274076,0.01241800131641048,0.3333333333333333,0.033368155744274076
2,6.0,0.26666666666666666,40.0,1.5387939158266672,-0.033368155744274076,0.003564998597967711,0.5,0.033368155744274076
3,9.0,0.0,0.0,0.0,-0.033368155744274076,0.014002870605670107,0.3333333333333333,0.033368155744274076
4,12.0,0.0,0.0,0.0,-0.033368155744274076,0.024365232845155186,0.25,0.033368155744274076
5,15.0,0.0,0.0,0.0,-0.06263239900397541,0.020012901230919544,0.26666666666666666,0.06263239900397541
6,18.0,0.0,0.0,0.0,-0.06383740338768142,0.01155394781973532,0.3888888888888889,0.06383740338768142
7,21.0,0.0,0.0,0.0,-0.06383740338768142,0.016263818264226598,0.3333333333333333,0.06383740338768142
8,24.0,0.0,0.0,0.0,-0.06383740338768142,0.02213380816803437,0.2916666666666667,0.06383740338768142
